,mass (g),fall,year,reclat,reclong,elevation,FIPS,Area(sq.km),BARE,CROPL,FOREST,GRSL,SHRUBL,SPARSE_VEGETATION,URBAN,WATER,WETL,Achrondrite,Chrondrite,Iron,Mesosiderite,Pallasite
458,18.4,1,2004,34.71933,-114.20783,425,4,295234,2.1127645068,1.8649596945,16.8468626318,1.6678386694,75.7951884087,0.1518946884,1.3227658986,0.1864150216,0.0513104801,0,1,0,0,0
459,34200.0,1,2005,34.7345,-114.21717,403,4,295234,2.1127645068,1.8649596945,16.8468626318,1.6678386694,75.7951884087,0.1518946884,1.3227658986,0.1864150216,0.0513104801,0,1,0,0,0
460,859.7,1,2007,34.70337,-114.19097,472,4,295234,2.1127645068,1.8649596945,16.8468626318,1.6678386694,75.7951884087,0.1518946884,1.3227658986,0.1864150216,0.0513104801,0,1,0,0,0
461,350.4,1,2009,33.24558,-111.89633,357,4,295234,2.1127645068,1.8649596945,16.8468626318,1.6678386694,75.7951884087,0.1518946884,1.3227658986,0.1864150216,0.0513104801,0,1,0,0,0
462,2750.0,1,1905,35.0,-111.0,1691,4,295234,2.1127645068,1.8649596945,16.8468626318,1.6678386694,75.7951884087,0.1518946884,1.3227658986,0.1864150216,0.0513104801,0,1,0,0,0
463,246.6,1,2004,33.66348,-114.29207,352,4,295234,2.1127645068,1.8649596945,16.8468626318,1.6678386694,75.7951884087,0.1518946884,1.3227658986,0.1864150216,0.0513104801,0,1,0,0,0
464,93.0,1,2011,35.066390000000006,-114.0975,848,4,295234,2.1127645068,1.8649596945,16.8468626318,1.6678386694,75.7951884087,0.1518946884,1.3227658986,0.1864150216,0.0513104801,0,1,0,0,0
465,240.0,1,2000,35.86333,-114.19333,839,4,295234,2.1127645068,1.8649596945,16.8468626318,1.6678386694,75.7951884087,0.1518946884,1.3227658986,0.1864150216,0.0513104801,0,1,0,0,0
466,9158.0,1,2004,34.71457,-114.19142,450,4,295234,2.1127645068,1.8649596945,16.8468626318,1.6678386694,75.7951884087,0.1518946884,1.3227658986,0.1864150216,0.0513104801,0,1,0,0,0
467,1728.0,1,2001,34.23333,-111.4,1404,4,295234,2.1127645068,1.8649596945,16.8468626318,1.6678386694,75.7951884087,0.1518946884,1.3227658986,0.1864150216,0.0513104801,0,1,0,0,0
468,3.0,1,2006,35.647,-114.0955,846,4,295234,2.1127645068,1.8649596945,16.8468626318,1.6678386694,75.7951884087,0.1518946884,1.3227658986,0.1864150216,0.0513104801,0,1,0,0,0
469,9200.0,1,1940,33.96667,-112.73333000000001,633,4,295234,2.1127645068,1.8649596945,16.8468626318,1.6678386694,75.7951884087,0.1518946884,1.3227658986,0.1864150216,0.0513104801,0,1,0,0,0
470,12.0,1,2001,32.181670000000004,-109.7895,1261,4,295234,2.1127645068,1.8649596945,16.8468626318,1.6678386694,75.7951884087,0.1518946884,1.3227658986,0.1864150216,0.0513104801,0,1,0,0,0
471,19.9,1,2004,32.14202,-109.82423,1260,4,295234,2.1127645068,1.8649596945,16.8468626318,1.6678386694,75.7951884087,0.1518946884,1.3227658986,0.1864150216,0.0513104801,0,1,0,0,0
472,62.4,1,2004,32.18843,-109.84563,1260,4,295234,2.1127645068,1.8649596945,16.8468626318,1.6678386694,75.7951884087,0.1518946884,1.3227658986,0.1864150216,0.0513104801,0,1,0,0,0
473,230000.0,0,1860,40.0,-81.76666999999999,297,39,116098,0.130908367,57.3111060783,23.904949706700002,12.4983230746,0.0429869899,0.0099533634,5.0423162198,0.8476226607999999,0.21183353940000002,0,1,0,0,0
474,900.0,0,1893,39.11667,-83.85,295,39,116098,0.130908367,57.3111060783,23.904949706700002,12.4983230746,0.0429869899,0.0099533634,5.0423162198,0.8476226607999999,0.21183353940000002,0,1,0,0,0
475,2126.0,1,1930,33.26667,-116.38333,189,6,423967,4.6961312449,13.3449597623,29.658272575599998,12.065105242000001,34.547941327800004,0.1290563734,3.9425150503,1.3939104665000002,0.22210795719999998,0,1,0,0,0
476,83000.0,1,1998,38.295,-121.405,5,6,423967,4.6961312449,13.3449597623,29.658272575599998,12.065105242000001,34.547941327800004,0.1290563734,3.9425150503,1.3939104665000002,0.22210795719999998,0,1,0,0,0
477,412.05,1,1999,35.03815,-116.7531,526,6,423967,4.6961312449,13.3449597623,29.658272575599998,12.065105242000001,34.547941327800004,0.1290563734,3.9425150503,1.3939104665000002,0.22210795719999998,0,1,0,0,0
478,42.57,1,2002,35.06888,-116.76196999999999,520,6,423967,4.6961312449,13.3449597623,29.658272575599998,12.065105242000001,34.547941327800004,0.1290563734,3.9425150503,1.3939104665000002,0.22210795719999998,0,1,0,0,0
479,1.47,1,2004,35.08838,-116.75283,522,6,423967,4.6961312449,13.3449597623,29.658272575599998,12.065105242000001,34.547941327800004,0.1290563734,3.9425150503,1.3939104665000002,0.22210795719999998,0,1,0,0,0
480,512.0,1,2004,35.03842,-116.75818000000001,527,6,423967,4.6961312449,13.3449597623,29.658272575599998,12.065105242000001,34.547941327800004,0.1290563734,3.9425150503,1.3939104665000002,0.22210795719999998,0,1,0,0,0
481,10.1,1,2008,35.30455,-117.45817,783,6,423967,4.6961312449,13.3449597623,29.658272575599998,12.065105242000001,34.547941327800004,0.1290563734,3.9425150503,1.3939104665000002,0.22210795719999998,0,1,0,0,0
482,95.0,1,1999,35.0425,-117.30837,618,6,423967,4.6961312449,13.3449597623,29.658272575599998,12.065105242000001,34.547941327800004,0.1290563734,3.9425150503,1.3939104665000002,0.22210795719999998,0,1,0,0,0
483,118.7,1,2007,35.04015,-117.27283,618,6,423967,4.6961312449,13.3449597623,29.658272575599998,12.065105242000001,34.547941327800004,0.1290563734,3.9425150503,1.3939104665000002,0.22210795719999998,0,1,0,0,0
484,85.5,1,2010,35.03333,-117.28333,617,6,423967,4.6961312449,13.3449597623,29.658272575599998,12.065105242000001,34.547941327800004,0.1290563734,3.9425150503,1.3939104665000002,0.22210795719999998,0,1,0,0,0
485,15.8,1,1963,34.5,-116.95,869,6,423967,4.6961312449,13.3449597623,29.658272575599998,12.065105242000001,34.547941327800004,0.1290563734,3.9425150503,1.3939104665000002,0.22210795719999998,0,1,0,0,0
486,37.4,1,1963,34.5,-116.95,869,6,423967,4.6961312449,13.3449597623,29.658272575599998,12.065105242000001,34.547941327800004,0.1290563734,3.9425150503,1.3939104665000002,0.22210795719999998,0,1,0,0,0
487,3.1,1,1963,34.5,-116.95,869,6,423967,4.6961312449,13.3449597623,29.658272575599998,12.065105242000001,34.547941327800004,0.1290563734,3.9425150503,1.3939104665000002,0.22210795719999998,0,1,0,0,0
488,3.8,1,1968,34.5,-116.95,869,6,423967,4.6961312449,13.3449597623,29.658272575599998,12.065105242000001,34.547941327800004,0.1290563734,3.9425150503,1.3939104665000002,0.22210795719999998,0,1,0,0,0
489,12.8,1,1999,34.5,-116.95,869,6,423967,4.6961312449,13.3449597623,29.658272575599998,12.065105242000001,34.547941327800004,0.1290563734,3.9425150503,1.3939104665000002,0.22210795719999998,0,1,0,0,0
490,3.91,1,2002,34.48868,-116.94985,870,6,423967,4.6961312449,13.3449597623,29.658272575599998,12.065105242000001,34.547941327800004,0.1290563734,3.9425150503,1.3939104665000002,0.22210795719999998,0,1,0,0,0
491,7.56,1,2002,34.49095,-116.95038000000001,870,6,423967,4.6961312449,13.3449597623,29.658272575599998,12.065105242000001,34.547941327800004,0.1290563734,3.9425150503,1.3939104665000002,0.22210795719999998,0,1,0,0,0
492,2.71,1,2003,34.49553,-116.9471,869,6,423967,4.6961312449,13.3449597623,29.658272575599998,12.065105242000001,34.547941327800004,0.1290563734,3.9425150503,1.3939104665000002,0.22210795719999998,0,1,0,0,0
493,3.1,1,2003,34.48715,-116.95336999999999,870,6,423967,4.6961312449,13.3449597623,29.658272575599998,12.065105242000001,34.547941327800004,0.1290563734,3.9425150503,1.3939104665000002,0.22210795719999998,0,1,0,0,0
494,5.21,1,2004,34.4921,-116.94308000000001,870,6,423967,4.6961312449,13.3449597623,29.658272575599998,12.065105242000001,34.547941327800004,0.1290563734,3.9425150503,1.3939104665000002,0.22210795719999998,0,1,0,0,0
495,0.84,1,2004,34.48975,-116.94277,870,6,423967,4.6961312449,13.3449597623,29.658272575599998,12.065105242000001,34.547941327800004,0.1290563734,3.9425150503,1.3939104665000002,0.22210795719999998,0,1,0,0,0
496,2.17,1,2004,34.48595,-116.9637,869,6,423967,4.6961312449,13.3449597623,29.658272575599998,12.065105242000001,34.547941327800004,0.1290563734,3.9425150503,1.3939104665000002,0.22210795719999998,0,1,0,0,0
497,106.22,1,2004,34.48413,-116.96083,869,6,423967,4.6961312449,13.3449597623,29.658272575599998,12.065105242000001,34.547941327800004,0.1290563734,3.9425150503,1.3939104665000002,0.22210795719999998,0,1,0,0,0
